component,acentric factor,No of C,No of F,No of CC,mol weight,segments,lambda_r,lamdba_a,epsilon,sigma,T crit
R 1234ye (Z),0.333,3,4,1,114.04,2,22.202644,6,322.138026,0.395356,409.4
R 1234yf,0.282,3,4,1,114.04,3,12.243171,6,178.57988,0.331627,367.85
R 1234zc,0.307,3,4,1,114.04,2,19.896287,6,290.890336,0.395207,386.8
R 1234ze (E),0.295,3,4,1,114.04,3,12.599106,6,189.752589,0.330293,382.513
R 1234ze (Z),0.3274,3,4,1,114.04,3,13.548351,6,221.273475,0.327215,423.27
R 1243zf,0.274,3,3,1,96.05,2,16.891,6,263,0.36487,376.93
R 1261yf,0.193,3,1,1,60.07,2,13.29,6,239.17,0.36773,396.62
R 1261ze (E),0.208,3,1,1,60.07,2,13.92,6,267.41,0.35993,430.49
R 1261ze (Z),0.208,3,1,1,60.07,2,13.92,6,267.41,0.35993,430.49
R 1261zf,0.218,3,1,1,60.07,2,14.37,6,250.07,0.36755,394.72
R 1336mzz (E),0.405,4,3,1,164.049,3,16.440422,6,238.962133,0.36585,403.37
R 1336mzz (Z),0.3853,4,3,1,164.049,3,15.615494,6,255.172402,0.36729,444.42
R 1114,0.223,2,4,1,100.02,2,15.8,6,197.62,0.34697,307.4
R 1141,0.143,2,1,1,46.04,2,11.517,6,178.79,0.32979,327.9
R 1216yc,0.3529,3,6,1,150.023,3,10.411,6,156.32,0.33638,358.8
R 1225ye (E),0.313,3,5,1,132.032,3,13.119397,6,197.618911,0.340558,386.75
R 1225ye (Z),0.305,3,5,1,132.032,3,12.884025,6,191.261089,0.340296,379.25
R 1225zc,0.303,3,5,1,132.032,3,12.826233,6,189.074836,0.340326,376.15
R 1234yc,0.322,3,4,1,114.04,2,21.18215,6,291.467082,0.4031,377.4
R 1123,0.238,2,3,1,82.02,2,15.351,6,228.8,0.34359,331.73
R 1132a,0.136,2,2,1,64.03,2,11.3,6,162.8,0.33138,302.9
R 1234ye (E),0.29,3,4,1,114.04,2,18.579674,6,285.45655,0.437421,391.7
R 1132 (Z),0.21,2,2,1,64.03,2,14.007,6,246.13,0.3316,394.67
R 1132 (E),0.21,2,2,1,64.03,2,14.006756,6,246.125734,0.33157,394.67
