Refrigerant,Molecular weight,Predicted crit temp /K,Acentric factor,No. of C,No. of F,No. of C=C,Temp /K,Liquid spec vol /[m^3/mol],Vapour spec vol /[m^3/mol],Vapour pressure /Pa,Dipole moment,Polarisability,Predicted crit pressure /Pa
R 1114,100.02,294.5561082,0.223,2,4,1,147.2780541,5.76E-05,0.308939698,3954.972241,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,148.8473558,5.78E-05,0.265934003,4642.06995,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,150.4073679,5.80E-05,0.229976934,5422.267291,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,151.9581452,5.82E-05,0.199764202,6304.340501,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,153.4997424,5.84E-05,0.17425746,7297.459596,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,155.032214,5.86E-05,0.1526255,8411.170646,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,156.5556138,5.88E-05,0.134199395,9655.376068,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,158.0699957,5.90E-05,0.118438063,11040.31317,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,159.575413,5.92E-05,0.104901672,12576.53115,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,161.0719187,5.94E-05,0.093231003,14274.86686,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,162.5595656,5.96E-05,0.083131333,16146.4194,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,164.0384062,5.98E-05,0.074359786,18202.52399,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,165.5084925,6.00E-05,0.066715368,20454.72516,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,166.9698765,6.02E-05,0.060031058,22914.74954,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,168.4226096,6.04E-05,0.054167516,25594.47848,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,169.866743,6.06E-05,0.049008055,28505.92063,0,20.909,4335776.354
